,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Opremljenost in stanje,Število parkirnih mest,Leto zadnje prenove,Energetski razred,Interna številka oglasa,Balkon / terasa / atrij,Zunanje površine in oprema,Možnost menjave
1024,4509934,21.08.2020dne00:11,"
doprodaje",335-krat,"

247.500 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Lovran",,,,3-sobno,"110,00 m²",,2010,,,,,,,,
1025,4509931,21.08.2020dne00:11,"
doprodaje",809-krat,"

123.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Dobrinj",,,,3-sobno,"63,00 m²",,,,,,,,,,
1026,4509930,21.08.2020dne00:11,"
doprodaje",288-krat,"

165.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"75,00 m²",,2008,,,,,,,,
1027,4509929,21.08.2020dne00:11,"
doprodaje",737-krat,"

99.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Malinska-dubašnica",,,,3-sobno,"66,15 m²",,1998,,,2017,,,,,
1028,4509925,21.08.2020dne00:11,"
doprodaje",334-krat,"

149.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"72,00 m²",,1930,,,2011,,,,,
1029,4509924,21.08.2020dne00:11,"
doprodaje",429-krat,"

90.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Malinska-dubašnica",,,,2-sobno,"42,00 m²",,2013,,,,,,,,
1030,4509921,21.08.2020dne00:11,"
doprodaje",388-krat,"

120.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,4-sobno,"102,00 m²",,,,,,,,,,
1031,4509920,21.08.2020dne00:11,"
doprodaje",376-krat,"

420.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Krk",,,,5-sobno,"180,00 m²",,2016,,,,,,,,
1032,4509915,21.08.2020dne00:11,"
doprodaje",568-krat,"

100.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Omišalj",,,,2-sobno,"42,00 m²",,2017,,,,,,,,
1033,4509914,21.08.2020dne00:11,"
doprodaje",229-krat,"

145.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"77,87 m²",,,,,,,,,,
1034,4509874,21.08.2020dne00:11,"
doprodaje",3367-krat,"

49.000 €
",Skupna cena,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,1.,,,"42,00 m²","42,00 m²",1800,,,2020,,PS38621786PV,,,
1035,4509843,21.08.2020dne00:10,"
doprodaje",659-krat,"

310.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Vič - Dolgi most",V večstanovanjski stavbi,,5,3-sobno,"72,00 m²","82,00 m²",2013,Popolnoma opremljeno,2,,C (35 - 60 kWh/m2a),101179-246,Balkon,,Menjava za drugo nepremičnino ni možna
1036,4479542,14.08.2020dne17:05,"
doprodaje",840-krat,"

99.900 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Zadarska, Biograd na Moru",V večstanovanjski stavbi,1.,1,2-sobno,"39,40 m²","39,40 m²",1970,,1,2017,B2 (25 - 35 kWh/m2a),PS095,Terasa,Vrt/dvorišče,
1037,4474312,13.08.2020dne14:49,"
doprodaje",635-krat,"

310.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,7.,,3-sobno,"86,10 m²",,1969,,,,,,Balkon,,
1038,4473406,13.08.2020dne12:20,"
doprodaje",979-krat,"

175.000 €
",Skupna cena,Prodam,"Gorenjska, Radovljica, Radovljica",V večstanovanjski stavbi,Pritličje,2,2-sobno,"79,94 m²",,1995,,,,EI v izdelavi,950,Atrij,Vrt/dvorišče,
1039,4471807,13.08.2020dne00:12,"
doprodaje",1267-krat,"

175.500 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"115,00 m²","115,00 m²",2009,,,2019,,RE ID 519-018,,,
1040,4471805,13.08.2020dne00:12,"
doprodaje",602-krat,"

197.600 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"102,00 m²","102,00 m²",2009,,,2019,,RE ID 519-003,,,
1041,4471804,13.08.2020dne00:12,"
doprodaje",354-krat,"

207.600 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"141,00 m²","141,00 m²",2009,,,2019,,RE ID 519-007,,,
1042,4471802,13.08.2020dne00:12,"
doprodaje",343-krat,"

206.500 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"102,00 m²","102,00 m²",2009,,,2019,,RE ID 519-011,,,
1043,4471801,13.08.2020dne00:12,"
doprodaje",1028-krat,"

164.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"115,00 m²","115,00 m²",2009,,,2019,,RE ID 519-010,,,
1044,4471799,13.08.2020dne00:12,"
doprodaje",244-krat,"

202.100 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Škrjančevo",V večstanovanjski stavbi,,,,"142,00 m²","142,00 m²",2009,,,2019,,RE ID 519-016,,,
1045,4465997,12.08.2020dne00:11,"
doprodaje",1405-krat,"

73.000 €
",Skupna cena,Prodam,"Posavska, Krško, Senovo",V večstanovanjski stavbi,1.,,,"63,00 m²","63,00 m²",1978,,,2018,,KODA: P5083SC,,,
1046,4411501,31.07.2020dne14:58,"
doprodaje",2358-krat,"

249.900 €
",Skupna cena,Prodam,"Koroška, Slovenj Gradec, Slovenj Gradec",V večstanovanjski stavbi,1.,2,4-sobno,"125,00 m²","228,00 m²",1986,Popolnoma opremljeno,,2005,EI ni potrebna (334. člen EZ-1),,Terasa,"Vrt/dvorišče, Lopa za shranjevanje, Žar",Možna menjava za drugo nepremičnino
1047,4407631,30.07.2020dne16:04,"
doprodaje",1704-krat,"

76.500 €
",Skupna cena,Prodam,"Savinjska, Žalec, Kasaze",V večstanovanjski stavbi,1.,2,3-sobno,,"67,40 m²",1950,,,2019,EI v izdelavi,935,Balkon,Vrt/dvorišče,
1048,4405628,30.07.2020dne10:44,"
doprodaje",2497-krat,"

45.000 €
",Skupna cena,Prodam,"Savinjska, Šmarje pri Jelšah, Cerovec pri Šmarju",V večstanovanjski stavbi,1.,,3-sobno,"75,00 m²","75,00 m²",1995,Popolnoma opremljeno,,2020,EI v izdelavi,P1515SJ,,,
1049,4403098,30.07.2020dne00:12,"
doprodaje",405-krat,"

285.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Umag",,,,3-sobno,"71,00 m²","71,00 m²",2006,Popolnoma opremljeno,2,,EI v izdelavi,106166-140,Balkon,,Menjava za drugo nepremičnino ni možna
1050,4403097,30.07.2020dne00:12,"
doprodaje",256-krat,"

350.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Buje",,,1,4-sobno,"245,00 m²","315,00 m²",1970,Popolnoma opremljeno,brez pripadajočega parkirišča,2016,B (26 do 50 kWh/m2a) - HR,106165-63,"Balkon, Terasa",,Menjava za drugo nepremičnino ni možna
1051,4381943,25.07.2020dne09:48,"
doprodaje",667-krat,"

252.337,50 €
",Skupna cena,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,4.,6,3-sobno,"109,10 m²","115,20 m²",2019,,,,,,,,
1052,4168111,23.07.2020dne11:28,"
doprodaje",569-krat,"

184.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Kamnik, Kamnik",V večstanovanjski stavbi,1.,,Drugo,"108,40 m²",,1995,Neopremljeno,,,C (35 - 60 kWh/m2a),100390,Loža,,
1053,4168611,23.07.2020dne11:26,"
doprodaje",440-krat,"

650.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,5.,6,4-sobno,,"193,80 m²",1996,Popolnoma opremljeno,1,2017,C (35 - 60 kWh/m2a),100332,"Balkon, Terasa",,
1054,4168836,23.07.2020dne11:26,"
doprodaje",308-krat,"

360.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,5.,6,"4,5-sobno",,"107,20 m²",1992,Delno opremljeno,1,,C (35 - 60 kWh/m2a),100042,,,
1055,4169176,23.07.2020dne11:24,"
doprodaje",761-krat,"

350.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",V večstanovanjski stavbi,2.,2,4-sobno,"73,70 m²","124,30 m²",1800,Delno opremljeno,,2014,EI ni potrebna (334. člen EZ-1),100406,Terasa,,
1056,4169221,23.07.2020dne11:23,"
doprodaje",470-krat,"

450.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Stara Ljubljana",V večstanovanjski stavbi,1.,4,4-sobno,,"142,00 m²",1500,Nedokončana gradnja,,2019,EI v izdelavi,100090,Atrij,,
1057,4169478,23.07.2020dne11:23,"
doprodaje",438-krat,"

595.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Stara Ljubljana",V hiši,4.,4,4-sobno,,"154,90 m²",1500,Nedokončana gradnja,,2019,EI v izdelavi,100088,Terasa,,
1058,4181767,23.07.2020dne11:21,"
doprodaje",1049-krat,"

235.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",V večstanovanjski stavbi,5.,6,3-sobno,"74,40 m²",,1954,,,2018,EI v izdelavi,100310,Balkon,,
1059,4193943,23.07.2020dne11:12,"
doprodaje",1006-krat,"

137.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Moste Polje, Polje",V večstanovanjski stavbi,4.,4,"1,5-sobno","48,00 m²",,1988,,,2016,EI v izdelavi,100167,,,
1060,4342979,16.07.2020dne13:31,"
doprodaje",1058-krat,"

115.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Medulin",,Pritličje,2,2-sobno,,"73,00 m²",2002,,,,,,Terasa,Vrt/dvorišče,
1061,4311792,15.07.2020dne09:35,"
doprodaje",898-krat,"

285.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Piran",,,,,"99,30 m²",,1831,,,,,,,,
1062,4311791,15.07.2020dne09:35,"
doprodaje",399-krat,"

495.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Lucija",,,,,"81,00 m²",,2006,,,,,,,,
1063,4311787,15.07.2020dne09:35,"
doprodaje",686-krat,"

360.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Piran",,,,,"169,90 m²",,1890,,,,,,,,
1064,4311778,15.07.2020dne09:35,"
doprodaje",2025-krat,"

169.000 €
",Skupna cena,Prodam,"Obalno-kraška, Koper, Koper",,,,,"62,50 m²",,1960,,,,,,,,
1065,4267495,11.07.2020dne00:11,"
doprodaje",3642-krat,"

80.000 €
",Skupna cena,Prodam,"Obalno-kraška, Izola, Izola",V večstanovanjski stavbi,,3,Garsonjera,"22,20 m²","22,20 m²",1948,Delno opremljeno,brez pripadajočega parkirišča,2017,,106165-102,,,Menjava za drugo nepremičnino ni možna
1066,4264000,10.07.2020dne00:08,"
doprodaje",1456-krat,"

71.000 €
",Skupna cena,Prodam,"Podravska, Šentilj v Slovenskih goricah, Selnica ob Muri",V večstanovanjski stavbi,Visoko pritličje,2,2-sobno,"88,10 m²","88,10 m²",2003,Nedokončana gradnja,,,EI ni potrebna (334. člen EZ-1),2012-996,Terasa,,Menjava za drugo nepremičnino ni možna
1067,4262553,09.07.2020dne15:37,"
doprodaje",1215-krat,"

320.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,2.,2,3-sobno,"87,00 m²",,1997,,,2018,,R32,,,
1068,4261491,09.07.2020dne12:02,"
doprodaje",1018-krat,"

145.002 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,1.,2,"2,5-sobno","67,58 m²","65,91 m²",2020,Neopremljeno,,,EI v izdelavi,,Balkon,Vrt/dvorišče,
1069,4261463,09.07.2020dne11:55,"
doprodaje",737-krat,"

156.354 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,1.,2,3-sobno,"72,79 m²","71,07 m²",2020,Neopremljeno,,,EI v izdelavi,,Balkon,Vrt/dvorišče,
1070,4261429,09.07.2020dne11:48,"
doprodaje",530-krat,"

193.248 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,1.,2,4-sobno,"90,26 m²","87,84 m²",2020,Neopremljeno,,,EI v izdelavi,,Balkon,Vrt/dvorišče,
1071,4261406,09.07.2020dne11:39,"
doprodaje",1130-krat,"

120.912 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,1.,2,"2,5-sobno","56,68 m²","54,96 m²",2020,Neopremljeno,,,EI v izdelavi,,Balkon,Vrt/dvorišče,
1072,4261346,09.07.2020dne11:26,"
doprodaje",923-krat,"

185.307 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,Pritličje,2,4-sobno,"87,26 m²","82,41 m²",2020,Neopremljeno,,,EI v izdelavi,,"Balkon, Atrij",Vrt/dvorišče,
1073,4261307,09.07.2020dne11:17,"
doprodaje",412-krat,"

163.598 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,Pritličje,2,"2,5-sobno","69,98 m²","65,74 m²",2020,Neopremljeno,,,EI v izdelavi,,"Balkon, Atrij",Vrt/dvorišče,
1074,4261266,09.07.2020dne11:06,"
doprodaje",745-krat,"

139.803 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,Pritličje,2,"2,5-sobno","66,73 m²","59,94 m²",2020,Neopremljeno,,,EI v izdelavi,,"Balkon, Atrij",Vrt/dvorišče,
1075,4260359,09.07.2020dne00:59,"
doprodaje",2045-krat,"

51.000 €
",Skupna cena,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",V večstanovanjski stavbi,Pritličje,2,2-sobno,"80,00 m²","80,00 m²",2003,Nedokončana gradnja,brez pripadajočega parkirišča,,,2012-991,Atrij,Lopa za shranjevanje,Menjava za drugo nepremičnino ni možna
1076,4260024,09.07.2020dne00:11,"
doprodaje",1525-krat,"

86.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Pobrežje",,,,4-sobno,"112,70 m²",,1937,,,2019,F (150 - 210 kWh/m2a),8684,,,
1077,4256703,08.07.2020dne08:37,"
doprodaje",500-krat,"

379.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Spodnja Šiška",,1.,2,3-sobno,"206,00 m²",,,,,,EI v izdelavi,R30,,,
1078,4256213,08.07.2020dne00:11,"
doprodaje",534-krat,"

105.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Opatija",,,,2-sobno,"49,00 m²",,1968,,,,,,,,
1079,4256212,08.07.2020dne00:11,"
doprodaje",374-krat,"

135.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"77,50 m²",,,,,2010,,,,,
1080,4256211,08.07.2020dne00:11,"
doprodaje",240-krat,"

146.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Opatija",,,,3-sobno,"68,05 m²",,,,,2009,,,,,
1081,4256209,08.07.2020dne00:11,"
doprodaje",339-krat,"

138.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Novi Vinodolski",,,,3-sobno,"56,00 m²",,2010,,,,,,,,
1082,4256203,08.07.2020dne00:11,"
doprodaje",518-krat,"

115.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"63,12 m²",,2010,,,,,,,,
1083,4256202,08.07.2020dne00:11,"
doprodaje",1579-krat,"

77.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,1-sobno,"47,00 m²",,1990,,,,,,,,
1084,4256200,08.07.2020dne00:11,"
doprodaje",389-krat,"

119.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Opatija",,,,2-sobno,"39,00 m²",,,,,2011,,,,,
1085,4251330,07.07.2020dne00:10,"
doprodaje",166-krat,"

374.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Opatija",,,,5-sobno,"144,26 m²",,,,,,,,,,
1086,4251321,07.07.2020dne00:10,"
doprodaje",851-krat,"

90.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Omišalj",,,,2-sobno,"42,00 m²",,,,,2000,,,,,
1087,4251319,07.07.2020dne00:10,"
doprodaje",533-krat,"

130.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Crikvenica",,,,3-sobno,"79,00 m²",,,,,,,,,,
1088,4251318,07.07.2020dne00:10,"
doprodaje",1157-krat,"

85.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Dobrinj",,,,2-sobno,"47,83 m²",,2005,,,2015,,,,,
1089,4251314,07.07.2020dne00:10,"
doprodaje",290-krat,"

145.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Primorsko-goranska, Omišalj",,,,2-sobno,"57,45 m²",,2019,,,,,,,,
1090,4240433,04.07.2020dne10:41,"
doprodaje",1773-krat,"

60.000 €
",Skupna cena,Prodam,"Podravska, Šentilj v Slovenskih goricah, Šentilj v Slovenskih goricah",V večstanovanjski stavbi,1.,2,,"74,00 m²","93,40 m²",2003,Nedokončana gradnja,1,,EI v izdelavi,2012-993,Terasa,,Menjava za drugo nepremičnino ni možna
