,Šifra oglasa,Objavljen ,Do poteka še,Število prikazov oglasa,Cena,Vrsta cene,Posredovanje,Lokacija,Umeščenost stanovanja,Nadstropje,Skupno število nadstropij v stavbi,Vrsta stanovanja,Bivalna površina,Neto površina,Leto izgradnje*,Leto zadnje prenove,Opremljenost in stanje,Energetski razred,Možnost menjave,Število parkirnih mest,Balkon / terasa / atrij,Zunanje površine in oprema,Interna številka oglasa
0,6523968,14.03.2021dne18:49,"
29dni,22h,33min.
",57-krat,"

192.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Slavko Šlander",V večstanovanjski stavbi,1.,2,3-sobno,"86,00 m²","105,00 m²",2004,,,,,,,,
1,6523894,14.03.2021dne18:39,"
29dni,22h,24min.
",29-krat,"

134.500 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",V večstanovanjski stavbi,Pritličje,4,Garsonjera,"28,60 m²","29,30 m²",1908,2020,Popolnoma opremljeno,EI ni potrebna (334. člen EZ-1),Možna menjava za drugo nepremičnino,,,,
2,6523589,14.03.2021dne18:07,"
29dni,21h,52min.
",33-krat,"

29.500 €
",Skupna cena,Prodam,"Gorenjska, Tržič, Tržič",V večstanovanjski stavbi,1.,5,Garsonjera,"11,00 m²","11,00 m²",1961,,,E (105 - 150 kWh/m2a),,,,,
3,6523431,14.03.2021dne17:47,"
29dni,21h,32min.
",34-krat,"

120.000 €
",Skupna cena,Prodam,"Savinjska, Slovenske Konjice, Slovenske Konjice",V večstanovanjski stavbi,1.,5,2-sobno,,"70,00 m²",2020,,Neopremljeno,A2 (10 - 15 kWh/m2a),,7+,"Balkon, Loža",,
4,6523190,14.03.2021dne17:16,"
29dni,21h,0min.
",23-krat,"

180.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Bežigrad",V večstanovanjski stavbi,7.,7,"1,5-sobno","53,50 m²",,1988,,,,,,Zaprt balkon,,
5,4980667,14.03.2021dne15:59,"
29dni,19h,44min.
",1754-krat,"

69.900 €
",Skupna cena,Prodam,"Podravska, Kidričevo, Kidričevo",V večstanovanjski stavbi,1.,4,2-sobno,"59,00 m²",,,2013,Popolnoma opremljeno,,,2,Balkon,,
6,6522471,14.03.2021dne15:55,"
29dni,19h,39min.
",37-krat,"

75.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",V večstanovanjski stavbi,Pritličje,5,Garsonjera,"27,00 m²","30,00 m²",1980,,,,,,,,
7,6522357,14.03.2021dne15:38,"
29dni,19h,22min.
",66-krat,"

50.000 €
",Skupna cena,Prodam,"Koroška, Podvelka, Podvelka",,,,"1,5-sobno","52,00 m²",,1980,2019,Popolnoma opremljeno,A1 (0 - 10 kWh/m2a),,2,Balkon,"Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta",
8,6522107,14.03.2021dne14:59,"
29dni,18h,43min.
",64-krat,"
podogovoru",Skupna cena,Prodam,"Osrednjeslovenska, Vrhnika, Vrhnika",V večstanovanjski stavbi,2.,3,3-sobno,"60,20 m²","85,30 m²",1952,2010,Delno opremljeno,EI v izdelavi,Možna menjava za drugo nepremičnino,,"Balkon, Loža",,
9,1459215,14.03.2021dne13:51,"
29dni,17h,35min.
",9507-krat,"

165.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Bežigrad, Stožice",V večstanovanjski stavbi,1.,4,2-sobno,"38,00 m²","40,00 m²",1976,2018,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,1,Balkon,,
10,6521099,14.03.2021dne12:51,"
29dni,16h,35min.
",479-krat,"

130.000 €
",Skupna cena,Prodam,"Savinjska, Velenje, Velenje",,3.,10,3-sobno,,,1973,,,D (60 - 105 kWh/m2a),,,Balkon,,
11,6520120,14.03.2021dne11:13,"
29dni,14h,57min.
",153-krat,"

116.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,7.,8,3-sobno,"78,00 m²",,1979,,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,1,Zaprt balkon,Vrt/dvorišče,
12,6520057,14.03.2021dne11:07,"
29dni,14h,51min.
",96-krat,"

69.000 €
",Skupna cena,Prodam,"Podravska, Dornava, Dornava",V večstanovanjski stavbi,2.,,2-sobno,,"53,00 m²",2009,2016,,,,1,,,
13,6520021,14.03.2021dne11:03,"
29dni,14h,47min.
",54-krat,"

40.800 €
",Skupna cena,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,1.,3,Garsonjera,"24,00 m²",,1980,2010,Delno opremljeno,,,,,,
14,6519881,14.03.2021dne10:51,"
29dni,14h,36min.
",49-krat,"

0 €
",Skupna cena,Prodam,"Pomurska, Murska Sobota, Murska Sobota",,4.,,Garsonjera,"14,00 m²",,1970,,,,,,,,
15,6519704,14.03.2021dne10:35,"
29dni,14h,19min.
",117-krat,"

55.000 €
",Skupna cena,Prodam,"Podravska, Starše, Prepolje",V hiši,Pritličje,,2-sobno,"80,00 m²","80,00 m²",1960,2010,,,,,,Vrt/dvorišče,
16,5569668,14.03.2021dne09:22,"
29dni,13h,6min.
",604-krat,"

48.000 €
",Skupna cena,Prodam,"Jugovzhodna Slovenija, Kočevje, Kočevje",V večstanovanjski stavbi,2.,2,2-sobno,"43,00 m²","43,00 m²",1963,2010,Delno opremljeno,EI v izdelavi,Možna menjava za drugo nepremičnino,1,,Vrt/dvorišče,
17,3174984,14.03.2021dne08:50,"
29dni,12h,34min.
",2045-krat,"

99.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,Mansarda,5,,"200,00 m²",,1945,2018,,,,,,,
18,1448717,14.03.2021dne08:23,"
29dni,12h,7min.
",1295-krat,"

159.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Magdalena",V večstanovanjski stavbi,Mansarda,3,3-sobno,"100,00 m²",,1950,2013,,EI v izdelavi,,,,,
19,1452932,14.03.2021dne08:20,"
29dni,12h,4min.
",3332-krat,"

98.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,5.,,,"194,00 m²",,1919,,,EI ni potrebna (334. člen EZ-1),,,,,
20,6515431,14.03.2021dne00:15,"
doprodaje",55-krat,"

90.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Celje",V večstanovanjski stavbi,Mansarda,2,3-sobno,"96,00 m²","96,00 m²",1700,2020,,,,,,,PS00491JP
21,6515122,14.03.2021dne00:12,"
doprodaje",119-krat,"

120.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,4,2-sobno,"62,00 m²","62,00 m²",2008,,Popolnoma opremljeno,,,,,,943
22,6325861,13.03.2021dne22:50,"
6dni,23h,58min.
",1320-krat,"

98.000 €
",Skupna cena,Prodam,"Podravska, Ruše, Bistrica ob Dravi",V večstanovanjski stavbi,1.,3,3-sobno,"70,00 m²","75,00 m²",1976,2014,Popolnoma opremljeno,EI v izdelavi,,1,Balkon,,
23,6514832,13.03.2021dne21:27,"
29dni,1h,11min.
",24-krat,"

210.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Zadarska, Vir",V večstanovanjski stavbi,1.,1,"2,5-sobno","70,00 m²","110,00 m²",2020,,Neopremljeno,A1 (0 - 10 kWh/m2a),,,"Balkon, Terasa",Vrt/dvorišče,
24,6514758,13.03.2021dne20:59,"
29dni,0h,43min.
",105-krat,"

49.104 €
",Skupna cena,Prodam,"Pomurska, Moravske Toplice, Moravske Toplice",V večstanovanjski stavbi,1.,2,Apartma,"26,09 m²","30,69 m²",1995,2015,Popolnoma opremljeno,C (35 - 60 kWh/m2a),,,Balkon,Vrt/dvorišče,
25,6078810,13.03.2021dne18:30,"
28dni,22h,14min.
",1389-krat,"

65.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",,Klet,2,,"49,00 m²",,1994,,Delno opremljeno,F (150 - 210 kWh/m2a),,,,Lopa za shranjevanje,
26,3211042,13.03.2021dne15:53,"
28dni,19h,37min.
",462-krat,"

199.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Nova vas",V večstanovanjski stavbi,1.,,3-sobno,"118,00 m²","85,00 m²",2009,,Popolnoma opremljeno,,Menjava za drugo nepremičnino ni možna,,"Balkon, Terasa",,
27,5298888,13.03.2021dne13:33,"
doprodaje",2196-krat,"

223.932,98 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,2.,3,"4,5-sobno","90,30 m²","98,40 m²",2020,,Delno opremljeno,B2 (25 - 35 kWh/m2a),,,"Balkon, Loža",,
28,4383951,13.03.2021dne13:33,"
doprodaje",862-krat,"

174.074,89 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,1.,3,"3,5-sobno","66,50 m²","75,20 m²",2021,,Delno opremljeno,B1 (15 - 25 kWh/m2a),,,Loža,,
29,4359089,13.03.2021dne13:33,"
doprodaje",5461-krat,"

129.226,43 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,3,2-sobno,"43,50 m²","77,30 m²",2021,,Neopremljeno,B2 (25 - 35 kWh/m2a),,,"Terasa, Loža, Atrij",,
30,2218823,13.03.2021dne13:33,"
doprodaje",6069-krat,"

156.119,63 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,4,"2,5-sobno","65,00 m²","101,70 m²",2020,,Neopremljeno,B2 (25 - 35 kWh/m2a),,,"Terasa, Loža, Atrij","Vrt/dvorišče, Lopa za shranjevanje, Vrtna uta, Žar, Bazen",
31,6281325,13.03.2021dne13:01,"
28dni,16h,45min.
",165-krat,"

140.000 €
",Skupna cena,Prodam,"Primorsko-notranjska, Postojna, Postojna",V večstanovanjski stavbi,Visoko pritličje,,4-sobno,,"115,00 m²",1959,,Potrebno obnove,D (101 do 150 kWh/m2a) - HR,,,Balkon,,
32,6512420,13.03.2021dne12:54,"
doprodaje",553-krat,"

67.500 €
",Skupna cena,Prodam,"Podravska, Maribor, Borštnikova ul.",V večstanovanjski stavbi,7.,14,1-sobno,"44,90 m²","41,20 m²",1978,2016,,,,,,Vrt/dvorišče,5214
33,6512199,13.03.2021dne12:12,"
28dni,15h,56min.
",105-krat,"

220.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana, Topniška",V večstanovanjski stavbi,3.,3,3-sobno,"75,00 m²",,1952,2001,,E (105 - 150 kWh/m2a),,,Balkon,,
34,6507401,13.03.2021dne00:16,"
doprodaje",131-krat,"

105.000 €
",Skupna cena,Prodam,"Podravska, Slovenska Bistrica, Slovenska Bistrica",V večstanovanjski stavbi,,3,"2,5-sobno","45,40 m²","53,20 m²",2006,2018,Popolnoma opremljeno,C (35 - 60 kWh/m2a),Menjava za drugo nepremičnino ni možna,2,,,100108-484
35,6507236,13.03.2021dne00:15,"
doprodaje",124-krat,"

160.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",V večstanovanjski stavbi,,4,"1,5-sobno","43,12 m²","46,12 m²",1973,2020,Popolnoma opremljeno,EI v izdelavi,Menjava za drugo nepremičnino ni možna,brez pripadajočega parkirišča,Balkon,,101179-306
36,6507148,13.03.2021dne00:13,"
doprodaje",163-krat,"

40.000 €
",Skupna cena,Prodam,"Koroška, Radlje ob Dravi, Radlje ob Dravi",,,,2-sobno,,,1900,,,,,,,Vrt/dvorišče,490271003-298
37,4486962,12.03.2021dne23:37,"
28dni,3h,20min.
",1599-krat,"

135.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Magdalena",V večstanovanjski stavbi,Visoko pritličje,3,4-sobno,,"82,30 m²",1945,,Popolnoma opremljeno,,,,,Vrt/dvorišče,
38,1452622,12.03.2021dne21:06,"
28dni,0h,50min.
",707-krat,"

389.900 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Trnovo",V večstanovanjski stavbi,1.,,3-sobno,"77,20 m²",,1981,2013,,,,,Balkon,,
39,4465526,12.03.2021dne20:38,"
28dni,0h,21min.
",928-krat,"

40.000 €
",Skupna cena,Prodam,"Koroška, Podvelka, Podvelka",V večstanovanjski stavbi,1.,1,"4,5-sobno","61,90 m²","61,90 m²",1800,1950,Potrebno obnove,,,,,,
40,2611516,12.03.2021dne20:37,"
28dni,0h,20min.
",1379-krat,"

14.000 €
",Skupna cena,Prodam,"Koroška, Podvelka, Podvelka",V večstanovanjski stavbi,Mansarda,,1-sobno,"24,50 m²",,,1950,,,,,,,
41,6506244,12.03.2021dne18:30,"
27dni,22h,13min.
",44-krat,"
podogovoru",Skupna cena,Prodam,"Goriška, Nova Gorica, Nova Gorica",V večstanovanjski stavbi,2.,8,3-sobno,"66,00 m²",,1984,2015,,EI v izdelavi,,,Balkon,,
42,4533343,12.03.2021dne18:05,"
27dni,21h,48min.
",2460-krat,"

84.000 €
",Skupna cena,Prodam,"Koroška, Ravne na Koroškem, Ravne na Koroškem",V večstanovanjski stavbi,2.,5,3-sobno,"63,00 m²","68,00 m²",1974,2017,Delno opremljeno,,Možna menjava za drugo nepremičnino,,,,
43,1470990,12.03.2021dne17:21,"
27dni,21h,4min.
",3375-krat,"

60.000 €
",Skupna cena,Prodam,"Pomurska, Lendava, Lendava",V večstanovanjski stavbi,Klet,,Garsonjera,"75,00 m²",,,2014,,EI ni potrebna (334. člen EZ-1),,,Terasa,,
44,2777351,12.03.2021dne16:16,"
27dni,19h,59min.
",5965-krat,"

120.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Celje",V hiši,,,3-sobno,"89,00 m²","122,00 m²",1983,2009,,,,,"Balkon, Terasa",,
45,6505505,12.03.2021dne15:51,"
doprodaje",371-krat,"

149.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Magdalena",V večstanovanjski stavbi,8.,10,4-sobno,"79,40 m²","83,40 m²",1971,2011,,,,,Zaprt balkon,,GALEA 2021/391
46,6504897,12.03.2021dne13:28,"
doprodaje",136-krat,"

168.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Šiška, Šiška",,4.,4,2-sobno,"56,20 m²",,1972,,,C (35 - 60 kWh/m2a),,,Balkon,,
47,6504843,12.03.2021dne13:17,"
doprodaje",95-krat,"

130.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ivančna Gorica, Ivančna Gorica",V večstanovanjski stavbi,Pritličje,,3-sobno,"61,50 m²","66,00 m²",2005,,,,,,Balkon,,1052
48,1447252,12.03.2021dne13:05,"
27dni,16h,48min.
",1349-krat,"

140.000 €
",Skupna cena,Prodam,"Savinjska, Prebold, Prebold",V večstanovanjski stavbi,Pritličje,2,6 in večsobno,"130,00 m²",,1900,2017,,EI ni potrebna (334. člen EZ-1),,,Terasa,,
49,1450839,12.03.2021dne12:59,"
27dni,16h,43min.
",2718-krat,"

45.000 €
",Skupna cena,Prodam,"Savinjska, Prebold, Prebold",V večstanovanjski stavbi,Pritličje,2,1-sobno,"31,00 m²","31,00 m²",1900,2017,,EI ni potrebna (334. člen EZ-1),Menjava za drugo nepremičnino ni možna,,Terasa,,
50,6504624,12.03.2021dne12:24,"
doprodaje",227-krat,"

145.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Nova Vas",V večstanovanjski stavbi,2.,8,3-sobno,"73,00 m²",,1981,,,,,,Zaprt balkon,,GALEA 2021/395
51,6504510,12.03.2021dne12:01,"
doprodaje",48-krat,"

230.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ivančna Gorica, Ivančna Gorica",V hiši,2.,2,"2,5-sobno","97,40 m²",,2019,,Popolnoma opremljeno,B1 (15 - 25 kWh/m2a),,,Terasa,,1053
52,3161746,12.03.2021dne11:44,"
doprodaje",3533-krat,"

187.800 €
",Skupna cena,Prodam,"Podravska, Maribor, Studenci",V večstanovanjski stavbi,Pritličje,5,4-sobno,"189,20 m²","83,60 m²",2020,,,B1 (15 - 25 kWh/m2a),,,Atrij,,P2
53,4237101,12.03.2021dne11:35,"
9dni,17h,42min.
",3999-krat,"

1.690 €
",Cena na m²,Prodam,"Podravska, Maribor, Center",V večstanovanjski stavbi,1.,3,3-sobno,"70,00 m²","68,00 m²",1958,2019,,D (60 - 105 kWh/m2a),Možna menjava za drugo nepremičnino,1,Balkon,Vrt/dvorišče,
54,6504368,12.03.2021dne11:29,"
doprodaje",71-krat,"

120.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",V večstanovanjski stavbi,3.,10,1-sobno,"39,00 m²","44,00 m²",1982,,Delno opremljeno,EI v izdelavi,,,Zaprt balkon,,1054
55,6504340,12.03.2021dne11:19,"
doprodaje",410-krat,"

110.000 €
",Skupna cena,Prodam,"Savinjska, Celje, Savinja",V večstanovanjski stavbi,Mansarda,3,3-sobno,,"107,90 m²",1860,,Neopremljeno,,Menjava za drugo nepremičnino ni možna,,,,
56,6259169,12.03.2021dne11:13,"
27dni,14h,56min.
",573-krat,"

30.000 €
",Skupna cena,Prodam,"Pomurska, Šalovci, Šalovci",V večstanovanjski stavbi,2.,2,2-sobno,"58,00 m²","58,00 m²",1996,2014,Neopremljeno,EI ni potrebna (334. člen EZ-1),,brez pripadajočega parkirišča,,,
57,6504276,12.03.2021dne11:00,"
doprodaje",40-krat,"

104.585 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,1.,3,3-sobno,"67,91 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/409
58,6504227,12.03.2021dne10:48,"
doprodaje",24-krat,"

123.533 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,Pritličje,3,3-sobno,"151,16 m²",,2021,,,EI v izdelavi,,,"Balkon, Atrij",,GALEA 2021/396
59,6504189,12.03.2021dne10:42,"
doprodaje",34-krat,"

92.177 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,Pritličje,3,2-sobno,"95,79 m²",,2021,,,EI v izdelavi,,,"Balkon, Atrij",,GALEA 2021/397
60,6504165,12.03.2021dne10:36,"
doprodaje",19-krat,"

121.375 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,Pritličje,3,2-sobno,"79,89 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/399
61,3627520,12.03.2021dne10:30,"
27dni,14h,13min.
",29203-krat,"

195.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,2.,4,4-sobno,"100,00 m²",,2010,2020,Popolnoma opremljeno,,,1,"Balkon, Loža",Vrt/dvorišče,
62,6504103,12.03.2021dne10:22,"
doprodaje",21-krat,"

111.158 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,1.,3,3-sobno,"72,28 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/401
63,6504057,12.03.2021dne10:12,"
doprodaje",16-krat,"

101.520 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,1.,3,3-sobno,"66,30 m²",,2021,,,,,,Balkon,,GALEA 2021/402
64,6503993,12.03.2021dne10:01,"
doprodaje",23-krat,"

89.017 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,2-sobno,"58,99 m²",,2021,,,,,,Balkon,,GALEA 2021/400
65,6503966,12.03.2021dne09:55,"
doprodaje",19-krat,"

115.517 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,3.,3,3-sobno,"72,77 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/407
66,6503941,12.03.2021dne09:48,"
doprodaje",13-krat,"

119.581 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,3-sobno,"77,63 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/404
67,6503912,12.03.2021dne09:41,"
doprodaje",15-krat,"

111.229 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,3-sobno,"72,37 m²",,2021,,,,,,Balkon,,GALEA 2021/406
68,6503885,12.03.2021dne09:35,"
doprodaje",16-krat,"

90.633 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,3.,3,2-sobno,"57,22 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/410
69,6503868,12.03.2021dne09:30,"
doprodaje",16-krat,"

108.478 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,3.,3,3-sobno,"68,19 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/412
70,6503835,12.03.2021dne09:20,"
doprodaje",16-krat,"

104.906 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,3.,3,3-sobno,"66,16 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/411
71,3783835,12.03.2021dne09:00,"
27dni,12h,44min.
",2902-krat,"

139.999 €
",Skupna cena,Prodam,"Savinjska, Braslovče, Gomilsko",V večstanovanjski stavbi,,2,4-sobno,"106,20 m²",,,2020,Neopremljeno,,,,,,
72,6503678,12.03.2021dne08:41,"
doprodaje",22-krat,"

101.028 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,3-sobno,"65,67 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/414
73,6500468,12.03.2021dne00:23,"
doprodaje",245-krat,"

75.000 €
",Skupna cena,Prodam,"Podravska, Maribor, Betnava",V večstanovanjski stavbi,6.,14,1-sobno,"37,00 m²","37,00 m²",1975,2008,Popolnoma opremljeno,,,,,,PS38621907BM
74,6500347,12.03.2021dne00:19,"
doprodaje",89-krat,"

175.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Piran",V večstanovanjski stavbi,3.,3,3-sobno,"80,00 m²","80,00 m²",1800,2010,Delno opremljeno,,,,,,PS4646642PB
75,6499894,12.03.2021dne00:15,"
doprodaje",15-krat,"

487.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Pula",V večstanovanjski stavbi,,3,6 in večsobno,"384,00 m²","384,00 m²",1888,2021,Delno opremljeno,D (101 do 150 kWh/m2a) - HR,Menjava za drugo nepremičnino ni možna,brez pripadajočega parkirišča,"Balkon, Terasa",,107209-56
76,6499228,11.03.2021dne20:37,"
27dni,0h,20min.
",397-krat,"

1.300 €
",Cena na m²,Prodam,"Savinjska, Celje, Lava",V večstanovanjski stavbi,1.,,3-sobno,,"81,60 m²",1966,,,D (60 - 105 kWh/m2a),,,Balkon,,
77,4887388,11.03.2021dne16:42,"
doprodaje",2362-krat,"

79.900 €
",Skupna cena,Prodam,"Podravska, Maribor, Pobrežje",V večstanovanjski stavbi,4.,5,1-sobno,"65,00 m²","65,00 m²",1977,2016,,,,1,,,PS4646054MR
78,6497972,11.03.2021dne16:07,"
doprodaje",155-krat,"

119.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Domžale, Domžale",,,,2-sobno,"57,00 m²",,1965,,,E (105 - 150 kWh/m2a),,,,,
79,6497900,11.03.2021dne15:47,"
doprodaje",54-krat,"

88.104 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,2-sobno,"57,93 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/405
80,6497871,11.03.2021dne15:42,"
doprodaje",15-krat,"

104.918 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,2.,3,3-sobno,"68,26 m²",,2021,,,EI v izdelavi,,,Balkon,,GALEA 2021/403
81,6497843,11.03.2021dne15:35,"
doprodaje",25-krat,"

115.557 €
",Skupna cena,Prodam,"Pomurska, Apače, Apače",V večstanovanjski stavbi,Pritličje,3,3-sobno,"68,31 m²",,2021,,,EI v izdelavi,,,"Balkon, Atrij",,GALEA 2021/398
82,6497711,11.03.2021dne15:02,"
26dni,18h,45min.
",182-krat,"

43.000 €
",Skupna cena,Prodam,"Podravska, Maribor okolica, Trčova",V večstanovanjski stavbi,Mansarda,1,Garsonjera,"22,10 m²","22,10 m²",2000,,Popolnoma opremljeno,D (101 do 150 kWh/m2a) - HR,Menjava za drugo nepremičnino ni možna,,,,
83,1448407,11.03.2021dne13:48,"
26dni,17h,31min.
",314-krat,"

99.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Brtonigla",V večstanovanjski stavbi,1.,1,3-sobno,"72,00 m²",,2008,,Popolnoma opremljeno,A (16 do 25 kWh/m2a) - HR,Možna menjava za drugo nepremičnino,1,Terasa,,
84,6497324,11.03.2021dne13:37,"
doprodaje",59-krat,"

299.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Center, Center",,4.,4,3-sobno,"97,80 m²",,1938,,,,,,,,J3
85,6496583,11.03.2021dne10:51,"
doprodaje",191-krat,"

71.175 €
",Skupna cena,Prodam,"Podravska, Lenart v Slovenskih goricah, Lenart v Slovenskih goricah",,1.,1,2-sobno,"46,30 m²",,1830,2020,,EI ni potrebna (334. člen EZ-1),,,,,PS4645466MR - 5
86,6496561,11.03.2021dne10:46,"
26dni,14h,29min.
",210-krat,"

180 €
",Skupna cena,Prodam,"Podravska, Maribor, Melje",V večstanovanjski stavbi,2.,2,5-sobno,"150,00 m²","150,00 m²",1900,,,,,,,,
87,6496472,11.03.2021dne10:28,"
26dni,14h,11min.
",1800-krat,"

90.000 €
",Skupna cena,Prodam,"Savinjska, Dobrna, Vinska Gorica",V večstanovanjski stavbi,3.,3,2-sobno,"62,60 m²",,1860,2017,Popolnoma opremljeno,,,,,Vrt/dvorišče,
88,3952649,11.03.2021dne09:52,"
26dni,13h,34min.
",2515-krat,"
podogovoru",Skupna cena,Prodam,"Podravska, Oplotnica, Oplotnica",V večstanovanjski stavbi,Pritličje,1,2-sobno,"60,00 m²","60,00 m²",,,Delno opremljeno,,Menjava za drugo nepremičnino ni možna,,,Vrt/dvorišče,
89,4377835,11.03.2021dne07:34,"
3dni,13h,18min.
",1997-krat,"

75.595,84 €
",Skupna cena,Prodam,"Podravska, Maribor, Radvanje",V hiši,Mansarda,1,2-sobno,"77,19 m²","115,30 m²",1975,2016,,,Menjava za drugo nepremičnino ni možna,,Balkon,Vrt/dvorišče,
90,6492699,11.03.2021dne00:20,"
doprodaje",72-krat,"

420.000 €
",Skupna cena,Prodam,"Obalno-kraška, Piran, Piran",V večstanovanjski stavbi,3.,4,4-sobno,"94,00 m²","94,00 m²",1900,2017,Popolnoma opremljeno,,,,,,PS4646640MM
91,6492480,11.03.2021dne00:17,"
doprodaje",70-krat,"

295.000 €
",Skupna cena,Prodam,"Osrednjeslovenska, Ljubljana Vič Rudnik, Rudnik",V večstanovanjski stavbi,,2,3-sobno,"65,30 m²","77,80 m²",2009,,Popolnoma opremljeno,EI v izdelavi,Menjava za drugo nepremičnino ni možna,2,Terasa,,101108-483
92,6492260,11.03.2021dne00:16,"
doprodaje",23-krat,"

365.000 €
",Skupna cena,Prodam,"Izven Slovenije - Hrvaška, Istrska, Pula",V večstanovanjski stavbi,,3,6 in večsobno,"267,00 m²","267,00 m²",1888,2021,Delno opremljeno,D (101 do 150 kWh/m2a) - HR,Menjava za drugo nepremičnino ni možna,brez pripadajočega parkirišča,"Balkon, Terasa",,107209-55
93,6492171,11.03.2021dne00:13,"
doprodaje",781-krat,"

74.270 €
",Skupna cena,Prodam,"Podravska, Ptuj, Ptuj",V večstanovanjski stavbi,Pritličje,1,2-sobno,"133,00 m²","133,00 m²",1880,2010,Delno opremljeno,,,brez pripadajočega parkirišča,,,PS38621906PV
